work_id,author_id,institution_id
https://openalex.org/W2084694443,https://openalex.org/A5012790096,https://openalex.org/I170201317
https://openalex.org/W2084694443,https://openalex.org/A5070797435,https://openalex.org/I170201317
https://openalex.org/W2084694443,https://openalex.org/A5070797435,https://openalex.org/I867280407
https://openalex.org/W2084694443,https://openalex.org/A5073552534,https://openalex.org/I170201317
https://openalex.org/W2084694443,https://openalex.org/A5073552534,https://openalex.org/I867280407
https://openalex.org/W2084694443,https://openalex.org/A5108194668,https://openalex.org/I170201317
https://openalex.org/W2084694443,https://openalex.org/A5108194668,https://openalex.org/I867280407
https://openalex.org/W2084694443,https://openalex.org/A5109175064,https://openalex.org/I170201317
https://openalex.org/W2084694443,https://openalex.org/A5109175064,https://openalex.org/I867280407
https://openalex.org/W2084694443,https://openalex.org/A5111846208,https://openalex.org/I170201317
https://openalex.org/W2084694443,https://openalex.org/A5111846208,https://openalex.org/I867280407
https://openalex.org/W2094884831,https://openalex.org/A5055852468,https://openalex.org/I39422238
https://openalex.org/W2094884831,https://openalex.org/A5055852468,https://openalex.org/I1343871089
https://openalex.org/W2098007351,https://openalex.org/A5015012736,https://openalex.org/I83809506
https://openalex.org/W2098007351,https://openalex.org/A5113647816,https://openalex.org/I83809506
https://openalex.org/W2098338109,https://openalex.org/A5014143201,https://openalex.org/I2802335433
https://openalex.org/W2098338109,https://openalex.org/A5049762198,https://openalex.org/I2802335433
https://openalex.org/W2098338109,https://openalex.org/A5051264147,https://openalex.org/I2802335433
https://openalex.org/W2098338109,https://openalex.org/A5073129301,https://openalex.org/I2802335433
https://openalex.org/W2098338109,https://openalex.org/A5091626973,https://openalex.org/I2802335433
https://openalex.org/W2098338109,https://openalex.org/A5091641647,https://openalex.org/I2802335433
https://openalex.org/W2098761057,https://openalex.org/A5052254983,https://openalex.org/I4210125796
https://openalex.org/W2098761057,https://openalex.org/A5052254983,https://openalex.org/I8087733
https://openalex.org/W2098761057,https://openalex.org/A5062696771,https://openalex.org/I4210125796
https://openalex.org/W2098761057,https://openalex.org/A5062696771,https://openalex.org/I8087733
https://openalex.org/W2098761057,https://openalex.org/A5109192873,https://openalex.org/I8087733
https://openalex.org/W2098761057,https://openalex.org/A5109192873,https://openalex.org/I4210125796
https://openalex.org/W2098761057,https://openalex.org/A5111556161,https://openalex.org/I221273032
https://openalex.org/W2124815679,https://openalex.org/A5009855846,https://openalex.org/I95457486
https://openalex.org/W2124815679,https://openalex.org/A5017244146,https://openalex.org/I95457486
https://openalex.org/W2124815679,https://openalex.org/A5040161889,https://openalex.org/I95457486
https://openalex.org/W2124815679,https://openalex.org/A5052158426,https://openalex.org/I95457486
https://openalex.org/W2124815679,https://openalex.org/A5085143303,https://openalex.org/I95457486
