work_id,topic_id,score,is_primary
https://openalex.org/W2035737547,https://openalex.org/T11887,0.997,True
https://openalex.org/W2035737547,https://openalex.org/T13443,0.9909,False
https://openalex.org/W2036324385,https://openalex.org/T10539,0.9999,True
https://openalex.org/W2036324385,https://openalex.org/T10880,0.9979,False
https://openalex.org/W2036324385,https://openalex.org/T11988,0.9865,False
https://openalex.org/W2036372021,https://openalex.org/T10362,0.9989,True
https://openalex.org/W2036372021,https://openalex.org/T14210,0.9714,False
https://openalex.org/W2036372021,https://openalex.org/T14418,0.9002,False
https://openalex.org/W2036568374,https://openalex.org/T10850,0.9972,False
https://openalex.org/W2036568374,https://openalex.org/T10998,1.0,True
https://openalex.org/W2036568374,https://openalex.org/T11945,0.9977,False
https://openalex.org/W2036653913,https://openalex.org/T10106,0.9933,False
https://openalex.org/W2036653913,https://openalex.org/T10826,0.9998,True
https://openalex.org/W2036653913,https://openalex.org/T13393,0.9301,False
https://openalex.org/W2036904522,https://openalex.org/T10453,0.9991,True
https://openalex.org/W2036904522,https://openalex.org/T10786,0.9968,False
https://openalex.org/W2036904522,https://openalex.org/T10979,0.9903,False
https://openalex.org/W2042512976,https://openalex.org/T10274,0.9991,False
https://openalex.org/W2042512976,https://openalex.org/T10817,0.9998,True
https://openalex.org/W2042512976,https://openalex.org/T12270,0.9995,False
https://openalex.org/W2042715523,https://openalex.org/T10760,0.9963,True
https://openalex.org/W2043073035,https://openalex.org/T10360,0.9995,False
https://openalex.org/W2043073035,https://openalex.org/T11008,0.9994,False
https://openalex.org/W2043073035,https://openalex.org/T11254,0.9997,True
https://openalex.org/W2043075193,https://openalex.org/T10266,0.9989,True
https://openalex.org/W2043075193,https://openalex.org/T10303,0.9943,False
https://openalex.org/W2043075193,https://openalex.org/T11760,0.9965,False
https://openalex.org/W2043099890,https://openalex.org/T10907,0.9454,False
https://openalex.org/W2043099890,https://openalex.org/T11454,0.9567,False
https://openalex.org/W2043099890,https://openalex.org/T11696,0.9991,True
https://openalex.org/W2043905963,https://openalex.org/T10018,0.9985,False
https://openalex.org/W2043905963,https://openalex.org/T10502,0.9994,False
https://openalex.org/W2043905963,https://openalex.org/T11128,1.0,True
https://openalex.org/W2063779415,https://openalex.org/T11138,0.9987,False
https://openalex.org/W2063779415,https://openalex.org/T11557,0.9995,False
https://openalex.org/W2063779415,https://openalex.org/T11799,0.9996,True
https://openalex.org/W2064277454,https://openalex.org/T10026,0.9998,True
https://openalex.org/W2064277454,https://openalex.org/T12917,0.997,False
https://openalex.org/W2064277454,https://openalex.org/T13126,0.9974,False
https://openalex.org/W2069051280,https://openalex.org/T10208,0.9952,False
https://openalex.org/W2069051280,https://openalex.org/T11544,0.9974,False
https://openalex.org/W2069051280,https://openalex.org/T11770,0.9987,True
https://openalex.org/W2069174305,https://openalex.org/T10461,0.99,False
https://openalex.org/W2069174305,https://openalex.org/T10660,0.9861,False
https://openalex.org/W2069174305,https://openalex.org/T11472,0.9956,True
https://openalex.org/W2069433616,https://openalex.org/T10892,0.9595,False
https://openalex.org/W2069433616,https://openalex.org/T11801,0.992,True
https://openalex.org/W2069433616,https://openalex.org/T13050,0.9722,False
https://openalex.org/W2070218629,https://openalex.org/T10784,0.9399,True
https://openalex.org/W2070233361,https://openalex.org/T10265,0.9756,False
https://openalex.org/W2070233361,https://openalex.org/T10403,0.9968,True
https://openalex.org/W2070233361,https://openalex.org/T12031,0.9729,False
https://openalex.org/W2070406687,https://openalex.org/T10661,0.9464,False
https://openalex.org/W2070406687,https://openalex.org/T11664,0.9675,False
https://openalex.org/W2070406687,https://openalex.org/T12084,0.9763,True
https://openalex.org/W2077012486,https://openalex.org/T10599,0.9994,True
https://openalex.org/W2077012486,https://openalex.org/T10658,0.9909,False
https://openalex.org/W2077012486,https://openalex.org/T11951,0.9819,False
https://openalex.org/W2083232324,https://openalex.org/T10263,0.9814,False
https://openalex.org/W2083232324,https://openalex.org/T10853,0.9628,False
https://openalex.org/W2083232324,https://openalex.org/T11123,0.9999,True
https://openalex.org/W2084391519,https://openalex.org/T10685,0.9998,True
https://openalex.org/W2084391519,https://openalex.org/T10981,0.9958,False
https://openalex.org/W2084391519,https://openalex.org/T12849,0.998,False
https://openalex.org/W2084694443,https://openalex.org/T11213,0.5183,False
https://openalex.org/W2084694443,https://openalex.org/T13199,0.5623,True
https://openalex.org/W2094884831,https://openalex.org/T10037,1.0,True
https://openalex.org/W2094884831,https://openalex.org/T10607,0.9956,False
https://openalex.org/W2094884831,https://openalex.org/T11766,0.9994,False
https://openalex.org/W2098007351,https://openalex.org/T10166,0.9891,False
https://openalex.org/W2098007351,https://openalex.org/T10296,0.9989,True
https://openalex.org/W2098007351,https://openalex.org/T12047,0.9878,False
https://openalex.org/W2098338109,https://openalex.org/T10358,0.9999,True
https://openalex.org/W2098338109,https://openalex.org/T11176,0.9991,False
https://openalex.org/W2098338109,https://openalex.org/T13123,0.9985,False
https://openalex.org/W2098761057,https://openalex.org/T10051,0.9919,False
https://openalex.org/W2098761057,https://openalex.org/T10198,0.9869,False
https://openalex.org/W2098761057,https://openalex.org/T12434,0.9999,True
https://openalex.org/W2124815679,https://openalex.org/T10187,0.9999,True
https://openalex.org/W2124815679,https://openalex.org/T10262,0.9993,False
https://openalex.org/W2124815679,https://openalex.org/T11392,0.9993,False
https://openalex.org/W2124978267,https://openalex.org/T11582,0.9972,False
https://openalex.org/W2124978267,https://openalex.org/T12074,0.9961,False
https://openalex.org/W2124978267,https://openalex.org/T12274,0.9997,True
https://openalex.org/W2125431777,https://openalex.org/T10475,0.998,False
https://openalex.org/W2125431777,https://openalex.org/T11400,0.9981,True
https://openalex.org/W2125431777,https://openalex.org/T11542,0.9953,False
https://openalex.org/W2126047658,https://openalex.org/T10285,0.994,True
https://openalex.org/W2126047658,https://openalex.org/T10641,0.9914,False
https://openalex.org/W2126047658,https://openalex.org/T11638,0.9587,False
https://openalex.org/W2126048208,https://openalex.org/T10702,0.9873,False
https://openalex.org/W2126048208,https://openalex.org/T10879,0.9986,True
https://openalex.org/W2126048208,https://openalex.org/T11170,0.9906,False
https://openalex.org/W2126966164,https://openalex.org/T10634,0.9996,True
https://openalex.org/W2126966164,https://openalex.org/T10877,0.9931,False
https://openalex.org/W2126966164,https://openalex.org/T11033,0.9484,False
https://openalex.org/W2127408869,https://openalex.org/T10190,0.9935,True
https://openalex.org/W2127408869,https://openalex.org/T11244,0.9346,False
