work_id,referenced_work_id
https://openalex.org/W2001322533,https://openalex.org/W2159732811
https://openalex.org/W2001334274,https://openalex.org/W1977893339
https://openalex.org/W2001334274,https://openalex.org/W1990764519
https://openalex.org/W2001334274,https://openalex.org/W2055955162
https://openalex.org/W2003444939,https://openalex.org/W1525703751
https://openalex.org/W2003444939,https://openalex.org/W1574240124
https://openalex.org/W2003444939,https://openalex.org/W2022828157
https://openalex.org/W2003444939,https://openalex.org/W2039217462
https://openalex.org/W2003444939,https://openalex.org/W2046536782
https://openalex.org/W2003444939,https://openalex.org/W2058681337
https://openalex.org/W2003444939,https://openalex.org/W2076418976
https://openalex.org/W2003444939,https://openalex.org/W2122513707
https://openalex.org/W2003444939,https://openalex.org/W2133662238
https://openalex.org/W2003444939,https://openalex.org/W2134551645
https://openalex.org/W2003444939,https://openalex.org/W2148563040
https://openalex.org/W2003444939,https://openalex.org/W2158087942
https://openalex.org/W2003469294,https://openalex.org/W2085217126
https://openalex.org/W2003596640,https://openalex.org/W1963711714
https://openalex.org/W2003596640,https://openalex.org/W1976571985
https://openalex.org/W2003596640,https://openalex.org/W1979724894
https://openalex.org/W2003596640,https://openalex.org/W1985215204
https://openalex.org/W2003596640,https://openalex.org/W1987825774
https://openalex.org/W2003596640,https://openalex.org/W1988499438
https://openalex.org/W2003596640,https://openalex.org/W1988714146
https://openalex.org/W2003596640,https://openalex.org/W1992755218
https://openalex.org/W2003596640,https://openalex.org/W1995412269
https://openalex.org/W2003596640,https://openalex.org/W1998820237
https://openalex.org/W2003596640,https://openalex.org/W2005746925
https://openalex.org/W2003596640,https://openalex.org/W2022091405
https://openalex.org/W2003945840,https://openalex.org/W1602987005
https://openalex.org/W2003945840,https://openalex.org/W1773803948
https://openalex.org/W2003945840,https://openalex.org/W1971220772
https://openalex.org/W2003945840,https://openalex.org/W1990186213
https://openalex.org/W2003945840,https://openalex.org/W1992760964
https://openalex.org/W2003945840,https://openalex.org/W1998838261
https://openalex.org/W2003945840,https://openalex.org/W2000273237
