category,works,group,name
q-bio.GN,3936,Quantitative Biology,Genomics
q-fin.MF,3412,Quantitative Finance,Mathematical Finance
q-fin.CP,3348,Quantitative Finance,Computational Finance
cs.SC,3241,Computer Science,Symbolic Computation
q-fin.GN,3079,Quantitative Finance,General Finance
q-fin.RM,3056,Quantitative Finance,Risk Management
physics.atm-clus,3036,Physics,Atomic and Molecular Clusters
cs.MS,2754,Computer Science,Mathematical Software
physics.pop-ph,2688,Physics,Popular Physics
q-bio.TO,2652,Quantitative Biology,Tissues and Organs
q-bio.CB,2480,Quantitative Biology,Cell Behavior
q-fin.PM,2459,Quantitative Finance,Portfolio Management
chao-dyn,2398,Legacy / unmapped,Historical code; retained as supplied
q-fin.TR,2353,Quantitative Finance,Trading and Market Microstructure
cs.OH,2321,Computer Science,Other Computer Science
q-fin.PR,2264,Quantitative Finance,Pricing of Securities
q-bio.SC,1825,Quantitative Biology,Subcellular Processes
stat.OT,1737,Statistics,Other Statistics
nlin.CG,1702,Physics,Cellular Automata and Lattice Gases
q-bio.OT,1627,Quantitative Biology,Other Quantitative Biology
q-alg,1578,Legacy / unmapped,Historical code; retained as supplied
cs.OS,1465,Computer Science,Operating Systems
alg-geom,1423,Legacy / unmapped,Historical code; retained as supplied
solv-int,1413,Legacy / unmapped,Historical code; retained as supplied
q-bio,1356,Legacy / unmapped,Historical code; retained as supplied
cmp-lg,894,Legacy / unmapped,Historical code; retained as supplied
dg-ga,732,Legacy / unmapped,Historical code; retained as supplied
patt-sol,650,Legacy / unmapped,Historical code; retained as supplied
adap-org,584,Legacy / unmapped,Historical code; retained as supplied
funct-an,427,Legacy / unmapped,Historical code; retained as supplied
mtrl-th,262,Legacy / unmapped,Historical code; retained as supplied
chem-ph,251,Legacy / unmapped,Historical code; retained as supplied
cs.GL,245,Computer Science,General Literature
comp-gas,221,Legacy / unmapped,Historical code; retained as supplied
supr-con,175,Legacy / unmapped,Historical code; retained as supplied
atom-ph,123,Legacy / unmapped,Historical code; retained as supplied
acc-phys,49,Legacy / unmapped,Historical code; retained as supplied
plasm-ph,38,Legacy / unmapped,Historical code; retained as supplied
ao-sci,17,Legacy / unmapped,Historical code; retained as supplied
bayes-an,16,Legacy / unmapped,Historical code; retained as supplied
